epoch,aa_acc,acc,kl_loss,loss,vae_loss,val_aa_acc,val_acc,val_kl_loss,val_loss,val_vae_loss,val_xent_loss,xent_loss
0,0.5137805370613933,0.5507701579481363,482.7910651117563,3902.4281311035156,3902.4281311035156,0.6246885061264038,0.6859561204910278,508.75244140625,2583.533935546875,2583.533935546875,2074.781494140625,3419.6371307373047
1,0.656545490026474,0.6906875520944595,206.21127033233643,1931.2012329101562,1931.2012329101562,0.6176010370254517,0.6512102484703064,121.10714721679688,2301.81640625,2301.81640625,2180.70947265625,1724.989990234375
2,0.663281723856926,0.6985732465982437,98.61553382873535,1670.1324310302734,1670.1324310302734,0.6311365962028503,0.6847671866416931,32.731048583984375,2007.96435546875,2007.96435546875,1975.2333984375,1571.5168762207031
3,0.6964581087231636,0.7233128398656845,64.61030054092407,1474.5323944091797,1474.5323944091797,0.6208496689796448,0.6527009010314941,29.477537155151367,1969.7333984375,1969.7333984375,1940.255859375,1409.922119140625
4,0.7332970499992371,0.746087096631527,68.5877914428711,1293.3399505615234,1293.3399505615234,0.6414520144462585,0.6939594149589539,26.847362518310547,1903.6328125,1903.6328125,1876.785400390625,1224.752182006836
5,0.7575070708990097,0.7732600420713425,65.48314619064331,1126.9277267456055,1126.9277267456055,0.6262444853782654,0.6948111653327942,23.95882797241211,1864.84521484375,1864.84521484375,1840.886474609375,1061.4445266723633
6,0.7534021809697151,0.8051999136805534,60.13502788543701,1041.5502700805664,1041.5502700805664,0.630612850189209,0.7148104906082153,24.729957580566406,1811.8486328125,1811.8486328125,1787.11865234375,981.4152755737305
7,0.7918099611997604,0.8335817828774452,65.79151821136475,904.3460922241211,904.3460922241211,0.6430485248565674,0.7137634754180908,25.495508193969727,1803.8565673828125,1803.8565673828125,1778.361083984375,838.554573059082
8,0.8139393553137779,0.8507484197616577,61.4859094619751,818.8640823364258,818.8640823364258,0.6485856771469116,0.7333723902702332,26.747222900390625,1759.87109375,1759.87109375,1733.123779296875,757.3781814575195
9,0.821939118206501,0.860810175538063,53.50696659088135,768.050537109375,768.050537109375,0.6451125741004944,0.7252271175384521,22.603607177734375,1778.98291015625,1778.98291015625,1756.37939453125,714.5435562133789
10,0.8311385437846184,0.8700356706976891,50.995952129364014,708.9852447509766,708.9852447509766,0.653580904006958,0.7327512502670288,19.800954818725586,1741.002685546875,1741.002685546875,1721.20166015625,657.9892807006836
11,0.832080788910389,0.8710516020655632,49.90375328063965,690.0122451782227,690.0122451782227,0.646336555480957,0.7232218980789185,20.152992248535156,1801.692626953125,1801.692626953125,1781.53955078125,640.1084976196289
12,0.8398518189787865,0.8782696202397346,47.48453330993652,652.8671836853027,652.8671836853027,0.6391921043395996,0.7263983488082886,21.85006332397461,1842.810546875,1842.810546875,1820.96044921875,605.3826293945312
13,0.8455514460802078,0.8823777288198471,46.158997535705566,626.6341514587402,626.6341514587402,0.6385203003883362,0.731154203414917,22.48841094970703,1833.0521240234375,1833.0521240234375,1810.563720703125,580.4751586914062
